eis_id,title,document_type,lead_agency,state,all_states,filed_date,filed_year,federal_register_date,comment_letter_date,comment_due_date,epa_impact,epa_adequacy,attachment_count
85659,Sloan-Kennally Timber Sale Harvesting and Regenerating Timber Stands Implementation Payette National Forest McCall Ranger District Valley County ID,Draft,Forest Service,ID,ID,1994-09-12,1994,1994-09-23,1994-12-19,1994-11-07,Environmental Objections,2.0,0
80437,Skinner and Vanceboro Rail Line (Docket NO. AB-213 Sub No. 4) Abandonment or Discontinuation Project Implementation Franklin Somerset Piscataquis Penobscot Aroostook and Washington Counties ME,Draft,Interstate Commerce Commission,ME,ME,1994-09-13,1994,1994-09-23,1994-11-04,1994-11-07,Environmental Concerns,2.0,0
77250,Fernald Environmental Management Project (FEMP) Operable Unit 4 Remedial Investigation Feasibility Study Implementation City of Cincinnati Bulter and Hamilton Counties OH,Final,Department of Energy,OH,OH,1994-09-13,1994,1994-09-23,1994-12-07,1994-10-24,,,0
86308,Texas National Forests and Grasslands Revised Land and Resource Management Plan Implementation several counties TX,Draft,Forest Service,TX,TX,1994-09-14,1994,1994-09-23,1995-01-06,1994-12-15,Lack of Objections,,1
78062,US 219 Transportation Project Improvement from I-68 to Somerset and US 219 to Meyersdale Funding Somerset County PA,Draft,Federal Highway Administration,PA,PA,1994-09-15,1994,1994-09-23,1994-12-05,1994-11-14,Environmental Concerns,2.0,0
78848,TX-161 Construction Updated Information on I-20 to TX-183 Funding Coast Guard Section 10 Permit and Possible COE Section 404 Permit Dallas County TX,Draft Supplement,Federal Highway Administration,TX,TX,1994-09-16,1994,1994-09-23,1994-12-05,1994-11-07,Environmental Concerns,2.0,0
79249,North Dakota 1806 Transportation Improvements from the Heart River Bridge in Mandan to Fort Lincoln State Park Funding and COE 404 Permit Morton County ND,Final,Federal Highway Administration,ND,ND,1994-09-16,1994,1994-09-23,1994-10-16,1994-10-24,Lack of Objections,,0
80052,Los Angeles Eastside Corridor Transportation Improvement Los Angeles Central Business District to just east of AtlanticBoulevard Funding NPDES and COE Section 404 Permits Los Angeles County CA,Final,Federal Transit Administration,CA,CA,1994-09-16,1994,1994-09-23,1994-09-23,1994-10-24,Lack of Objections,,0
79097,CA-180 Transportation Project Construction between Temperance Avenue and Cove Road Funding and COE Section 404 Permit Fresno County CA,Draft,Federal Highway Administration,CA,CA,1994-09-16,1994,1994-09-23,1994-11-14,1994-11-07,Environmental Concerns,2.0,0
77010,Tampa Bay Area Ocean Dredged Material Disposal Site (ODMDS) Designation for Material Not Suitable for Beach Nourishment and Other Suitable Disposal Options Offshore Tampa FL,Final,Environmental Protection Agency,FL,FL,1994-09-16,1994,1994-09-23,1994-10-24,1994-10-24,Lack of Objections,1.0,0
77028,Institute of Marine Science Infrastructure Improvement Long-Term Research and Monitoring of the Ecosystem affected by the Exxon Valdez Oil Spill Funding Seward AK,Final,Department of the Interior,AK,AK,1994-09-16,1994,1994-09-23,1994-10-25,1994-10-24,Lack of Objections,,0
